,id,reviewContent,createDate,reviewScore
2210,3268402044,락토핏 추석 기념 온가족 구매  핏핏핏 핏 내몸에 핏 락토핏   많은 분들이 락토핏 광고 노래 한번쯤은 들어보셨을 거에요 최근에 우연치않게 청결의 역습이라는 장내균 관련 도서를 읽다가 락토핏이 가정 먼저 떠올라 구매하게되었습니다  더군다나 추석 맞이  할인+추가포인트 적립+파리바게뜨 상품권+라이브방송 추가 이벤트까지 혜택이 어마어마해서 기분 좋게 구매했습니다 추가로 가족들 모두 선물 드리려고 하나씩 구매해놨습니다 추석 명절 이전까지 배송완료 되니 금상첨화  배송받고 오늘까지 가족 모두 복용방법대로 매일 포씩 먹고 있는데 장이 너무 편안하네요 그리고 조금 더러울 수 있지만 변도 묽지도 않고 되지도 않고 건강함을 느낄 수 있는 상태로 매일 비슷한 시간에 보고 있습니다  일단 종근당 제품이니 믿고 드셔보세요 장이 민감하신분들이나 장기복용하면 알러지나 아토피에도 긍정적 효과가 있을 수 있다고 해요 청결의 역습에서 읽었음  마지막으로 유통기한도 넉넉하니 걱정하지 않고 구매하셔서 종근당 락토핏과 장건강 챙겨가세요,2021-09-26T13:47:24.237+0000,5
2211,3338768150,배송도 빠르고 제품도 잘 왔네요 ,2022-01-04T08:28:47.873+0000,5
2212,3331713712,글쎄요자기몸에맞는게있으니까 저한테는별로네요,2021-12-24T13:34:50.705+0000,2
2213,3308874495,생리때문에화장실주기가좀영향이있기는하지만확실히화장실스트레스는준것같음 그런데이종이통이집에너무많아져서 이렇게 좋은종이통에 굳이꼭 포장을 해야하나 의문이생김 집에서먹을때는 포장다뜯어서 바구니에담아놓고있음,2021-11-23T06:51:07.234+0000,5
2214,3329650215,배송 무지 빠르네요 제품이야 항상 애용하는최고의 유산균입니다,2021-12-22T01:35:30.480+0000,5
2215,3338646419,늘 챙겨 먹는 유산균입니다,2022-01-04T06:01:09.295+0000,5
2216,3334283937,빠른 배송 감사해요 온가족 잘 먹을께요,2021-12-28T13:22:59.414+0000,5
2217,3337681224,일욜 저녁에 주문했는데 월욜에 왓어욬,2022-01-02T16:15:54.335+0000,5
2218,3334112013,배송도 빠르고 먹기좋게 스틱으로 되어있어 편리해요,2021-12-28T10:27:03.999+0000,5
2219,3338343552,빠른 배송에 감사합니다,2022-01-03T14:44:56.214+0000,5
2220,3338473916,너무 마음에 쏙 들어요,2022-01-04T01:22:46.922+0000,5
2221,3316774475,상품 포장을 잘 하셔서 파손 되지 않고 잘 받았으며 배변에도 도움이 되고 있습니다 감사합니다,2021-12-04T06:44:19.152+0000,5
2222,3355436738,좋아요 좋아요 좋아요 좋아요 좋아요 좋아요,2022-01-26T13:37:20.859+0000,5
2223,3336164838,선물박스도 잘되어잇고 양도 넉넉해용,2021-12-31T02:58:56.495+0000,5
